#TYPE System.Management.Automation.PSCustomObject
"Name","Group"
"Pmulcare","UK-DL S&D MI Reporting"
"Pmulcare","UK-SG AAD EXO Journaling"
"Pmulcare","UK-DL S&D CR Network Champions"
"Pmulcare","UK-DL Mobile Device Upgrade 3"
"Pmulcare","UK-DL S&D Infrastructure Leadership Team"
"Pmulcare","UK-DL S&D Infrastructure"
"Pmulcare","UK-SG SCCM WorkSite Macro Update Users"
"Pmulcare","UK-DL AAG Members"
"Pmulcare","GO-SG MC Delivery Backbone Users Regional EMA"
"Pmulcare","UK-DL IHF Mentors"
"Pmulcare","UK-SG AAD GBL - Office 365 Multi Geo"
"Pmulcare","UK-DL O365 Users"
"Pmulcare","UK-DL Source Comms B-E"
"Pmulcare","UK-DL Source Comms"
"Pmulcare","UK-DL CR Newsletter London"
"Pmulcare","UK-SG SCCM Visio 2013 Std Removal Users"
"Pmulcare","UK-DL S&D Demand and Pipeline Meeting"
"Pmulcare","UK-DL S&D Performance Managers"
"Pmulcare","UK-DL TSP1Notification"
"Pmulcare","UK-SG OneDrive Users"
"Pmulcare","UK-DL S&D Grade B"
"Pmulcare","UK-DL All B Grades"
"Pmulcare","UK-DL S&D App Maintenance & Support"
"Pmulcare","UK-DL S&D London All"
"Pmulcare","GO-SG Alex User"
"Pmulcare","UK-SG MobileIron Test Group"
"Pmulcare","UK-SG AAD GBL - Office 365 Enterprise E3 - SPO"
"Pmulcare","UK-SG Intune Exchange Online Outlook Users"
"Pmulcare","UK-SG Intune Mobile Users"
"Pmulcare","UK-DL CSQ 12th Floor East - Team Secretary Allocation"
"Pmulcare","UK-SG UKNASDATA11_TAXDEVLANARCHIVE"
"Pmulcare","UK-DL TechS Service Delivery"
"Pmulcare","UK-SG AAD GBL - Dynamic CRM Basic"
"Pmulcare","UK-SG AAD GBL - Enterprise Mobility Security E3"
"Pmulcare","UK-SG AAD GBL - Office 365 Enterprise E3"
"Pmulcare","UK-SG MS SCOM Tax Team"
"Pmulcare","UK-DL Solutions Staff All"
"Pmulcare","UK-DL 2016 Bonus - A-C colleagues"
"Pmulcare","UK-SG SCCM 2012 Dynamics CRM 2016 Install"
"Pmulcare","UK DL Canada Square EU Referendum Debate"
"Pmulcare","UK-DL Solutions B grades"
"Pmulcare","UK-DL Registered Wiggle 1"
"Pmulcare","UK-DL Techsolutions Incident Communication TTG"
"Pmulcare","UK-DL BES UKVMSRV040 Users"
"Pmulcare","UK-SG VDI TAX live full clones"
"Pmulcare","UK-SG MS2012 SCOM Web Console AlphaTax Team"
"Pmulcare","GO-SG MC Delivery Backbone Users ARIS"
"Pmulcare","GO-SG Global Benchmarking Plus light house"
"Pmulcare","GO-SG Delivery Backbone Users"
"Pmulcare","GO-SG MY360 AMS Users"
"Pmulcare","UK-DL BUPA Members 2015"
"Pmulcare","UK-DL Tax Central & CTT B grades"
"Pmulcare","UK-SG SCCM NavigoFontFix"
"Pmulcare","UK-DL Team Secretary Hammond"
"Pmulcare","UK-SG Global Delivery Backbone Users"
"Pmulcare","UK-SG SCCM Autonomy Worksite V9"
"Pmulcare","UK-SG UKVDIGDV51_Pilot"
"Pmulcare","UK-DL WorkSite TAX Contacts"
"Pmulcare","UK-SG HP Fortify SSC Developer"
"Pmulcare","UK-SG MS2012 RDS ServerAccessPortal - ProdDMZ"
"Pmulcare","UK-SG MS2012 SCOM Web Console Tax Team"
"Pmulcare","UK-SG MS2012 RDS ServerAccessPortal - DevDMZ"
"Pmulcare","UK-SG MS2012 RDS ServerAccessPortal - Development"
"Pmulcare","UK-DL Data Cleanse"
"Pmulcare","UK-SG TECHSOLUTIONS_ADMIN_SDI"
"Pmulcare","UK-SG TECHSOLUTIONS_ADMIN_TECH ALL"
"Pmulcare","UK-SG SCCM Project 2013"
"Pmulcare","UK-SG SCCM Microsoft Visio Standard 2013"
"Pmulcare","UK-DL TechSolutions London Permanent Staff"
"Pmulcare","UK-SG UKVDDGDV52 VDI"
"Pmulcare","UK-DL Flextra GLA Members"
"Pmulcare","UK-SG UKTAX VDI"
"Pmulcare","UK-SG MS2012 Lync Project Deployment Group - CSQ Delta"
"Pmulcare","UK-DL Workflow Superusers"
"Pmulcare","UK-SG MobileIron ITSNet WiFi Users"
"Pmulcare","UK-DL VF August Bill"
"Pmulcare","UK-DL NewLaptops_Canada Sq"
"Pmulcare","UK-DL Blackberry 10 Users"
"Pmulcare","UK-SG FTECH TSGateway Users"
"Pmulcare","UK-DL BUPA Members"
"Pmulcare","UK-DL EXL Daily Checks"
"Pmulcare","UK-DL MobileIron Users"
"Pmulcare","UK-SG TibbrUser"
"Pmulcare","UK-SG_TAXRDS_IE9"
"Pmulcare","UK-DL 2013 Tax London Summer Party"
"Pmulcare","UK-SG Share_Drives_Read_Write_Access"
"Pmulcare","UK-SG Share_Drives_Read_Only_Access_Manual_Users"
"Pmulcare","UK-SG Share_Drives_Read_Write_Access_Manual_Users"
"Pmulcare","UK-DL TTG Workflow Development"
"Pmulcare","UK-SG 625_TAX_Exclusive_ALL"
"Pmulcare","UK-DL Team Secretary Brissett"
"Pmulcare","UK-DL Team Secretary Allen"
"Pmulcare","UK-DL TTG PML"
"Pmulcare","UK-DL TTG Managers"
"Pmulcare","UK-DL ALL UK Staff"
"Pmulcare","UK-DL TTG London All"
"Pmulcare","UK-SG UKVDDGDV51"
"Pmulcare","UK-SG STDSPUDAPP_PAYROLL_STAR PAYROLL CLIENTS"
"Pmulcare","UK-SG Certificate Based SSLVPN Authentication"
"Pmulcare","UK-SG Digita Support"
"Pmulcare","UK-SG MobileIron Users"
"Pmulcare","UK-DL Global People Survey"
"Pmulcare","UK-SG PENSIONS_ADMIN_USERS_ADM"
"Pmulcare","UK-DL All UK Employees"
"Pmulcare","UK-DL ALL TAX UK"
"Pmulcare","UK-SG TAX_CTX_USERS"
"Pmulcare","UK-DL ITS Business Contacts - Tax"
"Pmulcare","UK-DL TTG Glasgow"
"Pmulcare","UK-SG UKVDD03"
"Pmulcare","UK-SG UKVDD02"
"Pmulcare","UK-DL CSQ 3rd Floor"
"Pmulcare","UK-DL KPMG Cricket Club"
"Pmulcare","UK-DL KPMG Hosting Notifications"
"Pmulcare","UK-DL TTG DevOps"
"Pmulcare","uk-dl FTechdc-Notifications"
"Pmulcare","UK-SG PA_SHARED"
"Pmulcare","UK-SG TAX_OPI_ Restricted_Email"
"Pmulcare","UK-DL 15CSQ Office All"
"Pmulcare","UK-DL Interwoven OPI Training"
"Pmulcare","UK-DL Powerdown Notice - London"
"Pmulcare","UK-DL Powerdown Notice - Scotland"
"Pmulcare","UK-DL TTG All"
"Pmulcare","UK-SG PRMBus_alldata"
"Pmulcare","UK-SG SDS TrusTax v15.10.0.10"
"Pmulcare","UK-SG KPMG_OPI_TAX_SHARES_ALL"
